tuple_id_1, tuple_id_2
A904694,A931214
A904701,A941767
A904709,A932640
A904710,A917152
A904710,A995613
A904712,A910190
A904712,A947954
A904719,A971385
A904721,A968046
A904724,A982156
A904724,A984461
A904725,A909312
A904727,A928431
A904729,A954555
A904731,A941436
A904733,A952426
A904733,A991630
A904736,A916657
A904736,A973956
A904738,A910512
A904742,A931201
A904745,A945785
A904748,A912088
A904748,A924006
A904749,A925275
A904750,A954671
A904752,A908074
A904755,A940959
A904762,A927125
A904763,A911411
A904764,A957994
A904764,A982393
A904766,A986761
A904769,A939412
A904778,A955434
A904779,A927335
A904779,A940094
A904782,A972822
A904785,A922257
A904785,A943634
A904786,A972698
A904787,A913813
A904791,A948447
A904792,A992942
A904793,A950439
A904795,A957123
A904797,A993214
A904797,A994533
A904798,A941281
A904799,A956056
A904799,A993228
A904803,A990192
A904804,A980786
A904806,A919597
A904807,A975424
A904811,A964831
A904811,A971061
A904813,A941658
A904814,A976091
A904815,A911624
A904817,A919555
A904817,A958047
A904820,A984222
A904821,A935021
A904822,A962141
A904822,A985651
A904823,A917669
A904823,A992114
A904825,A938794
A904830,A936891
A904830,A996154
A904832,A939368
A904834,A931942
A904834,A979898
A904835,A911151
A904835,A974076
A904836,A956289
A904836,A974354
A904841,A976172
A904842,A991724
A904842,A991856
A904843,A947712
A904843,A952716
A904849,A944176
A904852,A970063
A904852,A976933
A904853,A932047
A904854,A929796
A904858,A914067
A904858,A996227
A904860,A924540
A904861,A982285
A904862,A922607
A904864,A970130
A904870,A915651
A904870,A993744
A904872,A969694
A904876,A919857
A904879,A933173
A904879,A947688
A904881,A942595
A904883,A929181
A904883,A967963
A904891,A989032
A904893,A933585
A904899,A907523
A904905,A971376
A904905,A974473
A904907,A963086
A904907,A998406
A904908,A986713
A904910,A969628
A904911,A943004
A904913,A930639
A904913,A977354
A904915,A909210
A904919,A908513
A904924,A930880
A904924,A945896
A904925,A961775
A904928,A948200
A904933,A971921
A904935,A911776
A904935,A963809
A904936,A958269
A904936,A993437
A904942,A907321
A904942,A934518
A904943,A988520
A904945,A945883
A904945,A948708
A904949,A937927
A904952,A938890
A904952,A985951
A904953,A908516
A904959,A988441
A904960,A911467
A904961,A948378
A904961,A989056
A904969,A930587
A904970,A911976
A904970,A952517
A904970,A953108
A904972,A928743
A904972,A933454
A904975,A967096
A904977,A961708
A904977,A993111
A904978,A960358
A904978,A980104
A904980,A940328
A904982,A912810
A904988,A935586
A904991,A908527
A904992,A914945
A904992,A947315
A904993,A905304
A905000,A939596
A905003,A962849
A905003,A985279
A905004,A977387
A905006,A946200
A905013,A966798
A905013,A977250
A905017,A947540
A905020,A921259
A905020,A951035
A905023,A975158
A905028,A907902
A905028,A932491
A905036,A929760
A905036,A971139
A905037,A955868
A905039,A917502
A905040,A906108
A905040,A924936
A905042,A994366
A905043,A961045
A905044,A948741
A905044,A958498
A905045,A942523
A905045,A988793
A905046,A925071
A905047,A937368
A905053,A940337
A905053,A959935
A905054,A948571
A905055,A970802
A905058,A913179
A905058,A915426
A905059,A960734
A905067,A963797
A905068,A992736
A905073,A927693
A905073,A933471
A905075,A950724
A905076,A914948
A905078,A928974
A905080,A941393
A905083,A969954
A905088,A976713
A905092,A945994
A905092,A998565
A905095,A960887
A905096,A922529
A905100,A931843
A905101,A930701
A905101,A936424
A905106,A934607
A905106,A998929
A905109,A935453
A905109,A967662
A905110,A939533
A905112,A964578
A905114,A946808
A905120,A946741
A905121,A991047
A905123,A949734
A905126,A973349
A905127,A906753
A905129,A907735
A905130,A923807
A905130,A974494
A905131,A913199
A905131,A982731
A905133,A937784
A905133,A983490
A905135,A974721
A905137,A921840
A905138,A983047
A905140,A905360
A905140,A912336
A905141,A953216
A905142,A997075
A905143,A912944
A905144,A911949
A905145,A960759
A905146,A926679
A905147,A942554
A905154,A929528
A905156,A961180
A905157,A981490
A905157,A989513
A905159,A915798
A905160,A922763
A905160,A922947
A905161,A927887
A905163,A963315
A905168,A908692
A905170,A998991
A905171,A992122
A905172,A986043
A905173,A940488
A905174,A933877
A905174,A983043
A905179,A931822
A905179,A966452
A905182,A950888
A905185,A920035
A905185,A980042
A905190,A955864
